date,close,volume,amount,pe_ttm,pe_median,pb,pb_median,dividend_yield
2010-04-16,3356.33,47140368.0,,20.82,33.51,2.98,3.86,
2010-04-19,3176.42,88416300.0,,19.57,31.98,2.84,3.61,
2010-04-20,3173.37,64137859.0,,19.47,31.75,2.8,3.65,
2010-04-21,3236.68,66928331.0,,19.71,31.91,2.84,3.73,
2010-04-22,3201.54,71081688.0,,19.37,31.41,2.8,3.7,
2010-04-23,3190.0,61252679.0,,19.24,30.78,2.8,3.68,
2010-04-26,3172.0,50894199.0,,19.01,29.67,2.77,3.58,
2010-04-27,3108.41,65296574.0,,18.49,28.32,2.71,3.54,
2010-04-28,3097.35,45995406.0,,18.06,28.35,2.68,3.49,
2010-04-29,3060.06,48260971.0,,17.59,27.64,2.64,3.43,
2010-04-30,3067.37,54477881.0,,17.14,26.11,2.6,3.37,
2010-05-04,3019.45,41248610.0,,16.91,26.05,2.56,3.36,
2010-05-05,3036.39,59670441.0,,16.95,26.5,2.57,3.39,
2010-05-06,2896.86,58770413.0,,16.23,25.41,2.46,3.24,
2010-05-07,2836.79,61119399.0,,15.94,24.69,2.42,3.18,
2010-05-10,2858.23,50209173.0,,16.07,24.81,2.44,3.17,
2010-05-11,2800.82,58363490.0,,15.8,24.24,2.4,3.09,
2010-05-12,2818.16,53002271.0,,15.97,24.04,2.42,3.09,
2010-05-13,2886.91,55145778.0,,16.28,24.75,2.47,3.2,
2010-05-14,2868.02,42498719.0,,16.16,24.6,2.45,3.2,
2010-05-17,2714.72,52166847.0,,15.4,23.15,2.34,2.95,
2010-05-18,2771.35,54509671.0,,15.65,23.49,2.38,2.99,
2010-05-19,2762.17,45576221.0,,15.59,23.17,2.37,3.0,
2010-05-20,2726.02,42174803.0,,15.44,22.71,2.35,2.95,
2010-05-21,2768.79,54475383.0,,15.61,23.12,2.37,2.99,
2010-05-24,2873.47,74502338.0,,16.1,23.95,2.45,3.12,
2010-05-25,2813.94,55168327.0,,15.75,23.7,2.39,3.12,
2010-05-26,2813.94,39858564.0,,15.75,23.8,2.39,3.13,
2010-05-27,2859.98,53445209.0,,15.91,24.09,2.44,3.21,
2010-05-28,2850.3,51534989.0,,15.89,24.03,2.43,3.19,
2010-05-31,2773.26,46216854.0,,15.56,22.98,2.38,3.04,
